phone,region,title,description,address
 (03) 5159 1356 ,Gippsland East,Omeo Golf Club,Omeo Golf Club is an undulating course following a gently flowing trout stream. The nine-hole layout is set in natural bushland and includes a number of bunkers and a water hazard.,"Omeo Hwy, Omeo, VIC 3898"
 (03) 5159 4326 ,Gippsland East,Tambo Valley Golf Club,"Tambo Valley Golf Course and its facilities are situated 15kms north of the Swifts Creek Township or around 29 kms south of Omeo (take the Bindi turnoff 8 kms from Swifts Creek or about 22kms from Omeo, its very well marked ). The course is a demanding 9 holes, grass greens layout, set in a mature pine plantation nestled in a narrow valley with surrounding native forest. Junction Creek meanders through the course in a very picturesque, undulating setting.","Nunniong, Swifts Creek, VIC 3896"
 (03) 5157 1788 ,Gippsland East,South Pines Golf Club,18 Hole par 72 course set in gently undulating country with Kikuyu and Couch fairways and Bent grass greens. Visitors are welcome on all days. Clubs and buggies are available for hire. Competition Days: Saturday Mens. Sunday Mixed. Tuesday Mens & Ladies. Thursday Ladies. Social groups are most welcome. Memberships are available,Lindenow Road  Lindenow South 3875 VIC
 (03) 5154 1025 ,Gippsland East,Orbost Golf Club,The Orbost Golf Club is set in picturesque timbered country above the town of Orbost on the Bonang Highway.,"Bonang Hwy, Orbost, VIC 3888"
 (03) 5158 0277 ,Gippsland East,Mallacoota Golf and Country Club,"In far east Gippsland near the NSW border, enjoy a game on a links course with beautiful views of the coastline. Vegetation from heavy tea-tree to open forest gives shelter to migrating birds in Autumn, wild flowers in spring and a mob of kangaroos. Relax after in the friendly clubhouse.","Nelson Dr, Mallacoota, VIC 3892"
 (03) 5146 0890 ,Gippsland East,Loch Sport Golf Club,"Enjoy a relaxing game of golf on a course set in natural bush close to Lake Victoria where kangaroos abound, emus roam and an occasional deer is sighted. Native plants and trees – grass trees, thriptomene, banksias, tea tree, gums, heath and orchids are a lovely sight in spring.","Spermwhale Head Rd, Loch Sport, VIC 3851"
 (03) 5155 2832 ,Gippsland East,Lakes Entrance Golf Club,"The Lakes Entrance Golf Course is ranked in the top 100 public access courses in Australia for the year of 2011, as compiled by Golf Australia magazine.  It is the highest ranked golf course in Gippsland,The layout and presentation of Lakes Entrance Golf Course are nationally recognised; The water and wind are obvious and often trying features, while the sand and vegetation are natural, beautiful and provide tests of their own. But if things are “just not happening” with the golf, take in the magnificent coastal scenery and stunning birdlife. We have over 150 different residents and regular visitors; eagles, kites and other raptors, honeyeaters and parrots aplenty (including the rare swift parrot), sea and water birds in droves and much, much more.","Golf Links Rd, Lakes Entrance, VIC 3909"
 (03) 5155 9298 ,Gippsland East,Buchan Valley Golf Club,The course is situated with in the Canni Creek Reserve on the Bruthen-Buchan Highway. It is a 9 hole layout with alternating tees – 18 Holes in all. Par 70 to length 5462m. The greens are sand scrapes and the course is flat to undulating and is surrounded by a race course and bush. The club House is open on Thursday’s – Ladies Day and Sunday & Wednesday’s – Men’s Day. Other days by arrangement. Green fees $4.00 per 18 holes. Honesty system. Visitors and new members welcome.,"Canni Creek Reserve, Buchan South, VIC 3885"
 (03) 5152 4822 ,Gippsland East,Goose Gully Golf Greens,"Under 10 minutes from Bairnsdale, Goose Gully public golf course offers 9 challenging holes, practise fairway, putting green and a kiosk with refreshing drinks.","Balfours Rd, Bairnsdale, VIC 3875"
 (03) 5267 2660 ,Great Ocean Road,Winchelsea Golf Club,"We don’t have a description for this course just yet. If you’ve played this golf course before and you’d like to help out your fellow golfers, you can use our contact form to send us a description of this course so that we can keep other golfers informed.","Lorne Rd, Winchelsea, VIC 3241"
